,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Feature 26,Feature 27,Feature 28,Feature 29,Feature 30,Feature 31,Feature 32,Feature 33,Feature 34,Feature 35,Feature 36,Feature 37,Feature 38,Feature 39,Feature 40,Feature 41,Feature 42,Feature 43,Feature 44,Feature 45,Feature 46,Feature 47,Feature 48,Feature 49,Feature 50,Feature 51,Feature 52,Feature 53,Feature 54,Feature 55,Feature 56,Feature 57,Feature 58,Feature 59,Feature 60,Feature 61,Feature 62,Feature 63,Feature 64,Feature 65,Feature 66,Feature 67,Feature 68,Feature 69,Feature 70,Feature 71,Feature 72,Feature 73,Feature 74,Feature 75,Feature 76,Feature 77,Feature 78,Feature 79,Feature 80,Feature 81,Feature 82,Feature 83,Feature 84,Feature 85,Feature 86,Feature 87,Feature 88,Feature 89,Feature 90,Feature 91,Feature 92,Feature 93,Feature 94,Feature 95,Feature 96,Feature 97,Feature 98,Feature 99,Feature 100,Feature 101,Feature 102,Feature 103,Feature 104,Feature 105,Feature 106,Feature 107,Feature 108
P 56,pages_about,pages_hair-colorist,pages_blog,pages_color-translator,pages_compare-shades,FREQUENCY_other,pages_other,customer_type_gloss,medium_cpc,"DO_WITH_HAIR_\color_and_highlights\""""",visitor_age,city,pages_search,"HAIR_COLOR_\brown\""""",browser_ie,pages_refer,pages_checkout,pages_confirmation,pages_shopping,pages_learn-more,pages_color-advisor,"NATURAL_HAIR_COLOR_\red\""""",FREQUENCY_12,"NATURAL_HAIR_COLOR_\black\""""",pages_signIn,medium_other,visit_count,browser_facebook,order_type_renewal,longitude,pages_welcome,device_mobile,FREQUENCY_8,customer_type_color,revenue,"DO_WITH_HAIR_\touch_up\""""",purchases,"COMFORT_LEVEL_\not_comfortable\""""",pages_email-unsubscribe,FREQUENCY_5,utm_google,"COLOR_WHERE_\at_salon\""""",FREQUENCY_6,"NATURAL_HAIR_COLOR_\blonde\""""",browser_chrome,state,utm_iterable,utm_direct,"GRAY_LEVEL_\no_gray\""""",medium_none,utm_facebook,"COMFORT_LEVEL_\somewhat_comfortable\""""","GRAY_LEVEL_\more_than_50\""""",total_pages,"DO_WITH_HAIR_\change\""""",predicted_future_ltr_10yr,device_desktop,latitude,pages_how-to-color-your-hair,"COMFORT_LEVEL_\comfortable\""""",pages_notloggedin,"COLOR_WHERE_\at_home\""""",pages_account,medium_email,order_type_subscription,order_type_one-time,"GRAY_LEVEL_\all\""""",avg_session_length,"GRAY_LEVEL_\less_than_50\""""","COLOR_WHERE_\salon_and_home\""""",total_customer_type,total_order_type,FREQUENCY_4,utm_other,"COMFORT_LEVEL_\very_comfortable\""""",FREQUENCY_7,browser_safari,utm_bronto,customer_type_other,customer_type_colorbar,pages_hair-color-chart,"DO_WITH_HAIR_\highlight_only\""""",country,device_tablet,FREQUENCY_2,browser_other,"HAIR_COLOR_\blonde\""""","HAIR_COLOR_\black\""""",medium_fbigan,pages_colorbar,pages_hair-dye-ingredients,browser_firefox,FREQUENCY_3,"HAIR_COLOR_\red\""""","NATURAL_HAIR_COLOR_\brown\""""",pages_landing,pages_membership,pages_product,pages_hair-color,"DO_WITH_HAIR_\not_sure\""""",pages_share,medium_organic,pages_shop,customer_type_rootreboot,pages_cart,"GRAY_LEVEL_\not_sure\""""",pages_support,pages_faqs
P 57,pages_compare-shades,pages_share,pages_hair-color,pages_how-to-color-your-hair,city,FREQUENCY_12,pages_blog,"HAIR_COLOR_\brown\""""",pages_learn-more,"DO_WITH_HAIR_\color_and_highlights\""""",pages_signIn,pages_faqs,"NATURAL_HAIR_COLOR_\red\""""",pages_email-unsubscribe,customer_type_gloss,medium_organic,browser_other,visitor_age,medium_fbigan,"NATURAL_HAIR_COLOR_\blonde\""""",utm_google,"COMFORT_LEVEL_\not_comfortable\""""",device_mobile,browser_ie,latitude,"NATURAL_HAIR_COLOR_\black\""""",FREQUENCY_5,pages_product,pages_refer,"GRAY_LEVEL_\no_gray\""""",FREQUENCY_4,"GRAY_LEVEL_\all\""""",pages_welcome,pages_other,"COLOR_WHERE_\at_home\""""",FREQUENCY_6,order_type_renewal,purchases,state,longitude,revenue,pages_confirmation,visit_count,FREQUENCY_3,"COMFORT_LEVEL_\somewhat_comfortable\""""",pages_support,utm_facebook,pages_checkout,order_type_one-time,medium_none,utm_direct,utm_iterable,avg_session_length,total_customer_type,total_order_type,"COMFORT_LEVEL_\very_comfortable\""""",browser_facebook,"DO_WITH_HAIR_\change\""""","GRAY_LEVEL_\more_than_50\""""",device_desktop,medium_cpc,pages_color-translator,"DO_WITH_HAIR_\touch_up\""""",order_type_subscription,predicted_future_ltr_10yr,"COLOR_WHERE_\at_salon\""""",browser_safari,pages_colorbar,"COLOR_WHERE_\salon_and_home\""""",customer_type_colorbar,customer_type_other,"GRAY_LEVEL_\less_than_50\""""","DO_WITH_HAIR_\highlight_only\""""",FREQUENCY_2,browser_firefox,"COMFORT_LEVEL_\comfortable\""""",medium_email,customer_type_rootreboot,"DO_WITH_HAIR_\not_sure\""""",customer_type_color,utm_other,FREQUENCY_8,browser_chrome,total_pages,pages_landing,FREQUENCY_7,utm_bronto,pages_color-advisor,"HAIR_COLOR_\blonde\""""",country,"HAIR_COLOR_\red\""""",pages_cart,pages_account,medium_other,device_tablet,pages_notloggedin,pages_membership,"HAIR_COLOR_\black\""""",FREQUENCY_other,pages_search,"NATURAL_HAIR_COLOR_\brown\""""",pages_hair-colorist,"GRAY_LEVEL_\not_sure\""""",pages_shopping,pages_shop,pages_hair-dye-ingredients,pages_about,pages_hair-color-chart
P 58,"NATURAL_HAIR_COLOR_\brown\""""",FREQUENCY_12,"HAIR_COLOR_\black\""""",FREQUENCY_other,pages_email-unsubscribe,"HAIR_COLOR_\blonde\""""","HAIR_COLOR_\red\""""",pages_share,customer_type_gloss,total_pages,city,avg_session_length,pages_confirmation,pages_search,pages_blog,pages_compare-shades,FREQUENCY_2,pages_checkout,pages_notloggedin,pages_faqs,predicted_future_ltr_10yr,pages_shop,"COLOR_WHERE_\at_salon\""""",FREQUENCY_3,pages_learn-more,pages_color-advisor,"GRAY_LEVEL_\more_than_50\""""",pages_support,"COMFORT_LEVEL_\comfortable\""""",pages_hair-color-chart,browser_other,"DO_WITH_HAIR_\color_and_highlights\""""",FREQUENCY_4,pages_account,"DO_WITH_HAIR_\highlight_only\""""",browser_ie,pages_refer,order_type_subscription,device_mobile,"GRAY_LEVEL_\less_than_50\""""",utm_direct,medium_none,country,utm_iterable,state,pages_hair-color,medium_fbigan,"DO_WITH_HAIR_\change\""""","GRAY_LEVEL_\all\""""",device_desktop,medium_cpc,longitude,latitude,customer_type_colorbar,medium_email,browser_safari,visit_count,browser_facebook,"DO_WITH_HAIR_\not_sure\""""",pages_hair-colorist,"COLOR_WHERE_\salon_and_home\""""",customer_type_rootreboot,utm_other,purchases,order_type_one-time,utm_facebook,revenue,pages_color-translator,"COMFORT_LEVEL_\somewhat_comfortable\""""",browser_firefox,total_order_type,total_customer_type,pages_about,order_type_renewal,pages_other,utm_google,pages_membership,visitor_age,pages_hair-dye-ingredients,medium_organic,"COMFORT_LEVEL_\very_comfortable\""""",medium_other,pages_colorbar,browser_chrome,FREQUENCY_8,pages_welcome,"COMFORT_LEVEL_\not_comfortable\""""","DO_WITH_HAIR_\touch_up\""""",utm_bronto,customer_type_color,pages_product,"GRAY_LEVEL_\not_sure\""""",device_tablet,FREQUENCY_6,pages_how-to-color-your-hair,"COLOR_WHERE_\at_home\""""",FREQUENCY_5,"NATURAL_HAIR_COLOR_\black\""""",customer_type_other,"GRAY_LEVEL_\no_gray\""""",pages_landing,FREQUENCY_7,pages_shopping,pages_cart,"NATURAL_HAIR_COLOR_\blonde\""""",pages_signIn,"NATURAL_HAIR_COLOR_\red\""""","HAIR_COLOR_\brown\"""""
P 59,pages_hair-color-chart,pages_landing,pages_blog,pages_compare-shades,medium_cpc,pages_share,pages_hair-dye-ingredients,pages_faqs,utm_bronto,pages_confirmation,customer_type_other,pages_checkout,city,FREQUENCY_2,pages_color-translator,browser_chrome,FREQUENCY_8,avg_session_length,"COMFORT_LEVEL_\somewhat_comfortable\""""","HAIR_COLOR_\brown\""""","GRAY_LEVEL_\all\""""",device_mobile,medium_email,longitude,pages_hair-color,pages_membership,browser_other,pages_support,"NATURAL_HAIR_COLOR_\red\""""",pages_notloggedin,"NATURAL_HAIR_COLOR_\black\""""",state,"DO_WITH_HAIR_\change\""""","DO_WITH_HAIR_\color_and_highlights\""""","GRAY_LEVEL_\more_than_50\""""","COLOR_WHERE_\at_home\""""",customer_type_colorbar,customer_type_gloss,pages_account,pages_welcome,utm_facebook,"GRAY_LEVEL_\not_sure\""""",utm_direct,medium_none,FREQUENCY_12,FREQUENCY_6,order_type_renewal,medium_fbigan,"COLOR_WHERE_\at_salon\""""",pages_colorbar,"HAIR_COLOR_\black\""""",FREQUENCY_5,FREQUENCY_7,visit_count,total_pages,"COMFORT_LEVEL_\comfortable\""""","DO_WITH_HAIR_\touch_up\""""",utm_iterable,total_customer_type,total_order_type,"GRAY_LEVEL_\no_gray\""""","NATURAL_HAIR_COLOR_\blonde\""""",order_type_subscription,country,purchases,order_type_one-time,utm_google,browser_safari,revenue,"HAIR_COLOR_\blonde\""""",pages_about,device_desktop,"COLOR_WHERE_\salon_and_home\""""","DO_WITH_HAIR_\highlight_only\""""",pages_color-advisor,pages_signIn,browser_facebook,"NATURAL_HAIR_COLOR_\brown\""""",browser_ie,customer_type_color,"GRAY_LEVEL_\less_than_50\""""",visitor_age,FREQUENCY_4,pages_other,"HAIR_COLOR_\red\""""",FREQUENCY_3,"COMFORT_LEVEL_\not_comfortable\""""",customer_type_rootreboot,predicted_future_ltr_10yr,"COMFORT_LEVEL_\very_comfortable\""""",medium_other,device_tablet,pages_shopping,pages_shop,latitude,"DO_WITH_HAIR_\not_sure\""""",browser_firefox,pages_learn-more,pages_refer,pages_product,utm_other,pages_hair-colorist,pages_search,pages_email-unsubscribe,pages_how-to-color-your-hair,pages_cart,FREQUENCY_other,medium_organic
P 60,customer_type_other,FREQUENCY_other,pages_hair-dye-ingredients,FREQUENCY_12,"DO_WITH_HAIR_\touch_up\""""",pages_blog,pages_membership,"COMFORT_LEVEL_\not_comfortable\""""",FREQUENCY_7,"GRAY_LEVEL_\no_gray\""""","COLOR_WHERE_\salon_and_home\""""",pages_cart,latitude,pages_other,total_pages,"HAIR_COLOR_\black\""""",browser_ie,pages_email-unsubscribe,pages_welcome,pages_product,FREQUENCY_6,"GRAY_LEVEL_\all\""""","COMFORT_LEVEL_\somewhat_comfortable\""""","GRAY_LEVEL_\not_sure\""""",visit_count,"NATURAL_HAIR_COLOR_\brown\""""",browser_other,"COLOR_WHERE_\at_home\""""",FREQUENCY_4,utm_google,city,purchases,revenue,medium_cpc,device_tablet,"HAIR_COLOR_\red\""""",pages_compare-shades,utm_bronto,order_type_renewal,pages_landing,pages_hair-colorist,pages_signIn,browser_firefox,medium_organic,total_order_type,total_customer_type,FREQUENCY_8,"DO_WITH_HAIR_\color_and_highlights\""""",FREQUENCY_5,pages_shop,device_desktop,"DO_WITH_HAIR_\not_sure\""""",pages_faqs,order_type_one-time,pages_checkout,pages_support,medium_none,utm_direct,utm_facebook,"COMFORT_LEVEL_\comfortable\""""",predicted_future_ltr_10yr,"HAIR_COLOR_\blonde\""""",medium_fbigan,browser_facebook,"COLOR_WHERE_\at_salon\""""","NATURAL_HAIR_COLOR_\black\""""",pages_share,medium_other,customer_type_colorbar,visitor_age,"HAIR_COLOR_\brown\""""",medium_email,pages_how-to-color-your-hair,utm_other,pages_confirmation,browser_safari,device_mobile,"DO_WITH_HAIR_\change\""""",pages_color-translator,"COMFORT_LEVEL_\very_comfortable\""""",browser_chrome,order_type_subscription,longitude,utm_iterable,pages_color-advisor,customer_type_color,pages_colorbar,"NATURAL_HAIR_COLOR_\red\""""","GRAY_LEVEL_\less_than_50\""""",state,"NATURAL_HAIR_COLOR_\blonde\""""",country,"GRAY_LEVEL_\more_than_50\""""",FREQUENCY_3,customer_type_gloss,pages_notloggedin,pages_account,pages_learn-more,pages_refer,avg_session_length,pages_hair-color-chart,FREQUENCY_2,pages_about,customer_type_rootreboot,pages_shopping,pages_search,pages_hair-color,"DO_WITH_HAIR_\highlight_only\"""""
P 61,pages_support,pages_learn-more,customer_type_other,pages_blog,pages_email-unsubscribe,total_pages,medium_other,pages_hair-color-chart,"HAIR_COLOR_\brown\""""",pages_hair-color,pages_other,"NATURAL_HAIR_COLOR_\red\""""",pages_confirmation,medium_cpc,pages_refer,customer_type_gloss,pages_checkout,city,pages_color-advisor,pages_shop,browser_chrome,browser_facebook,utm_bronto,utm_other,avg_session_length,FREQUENCY_3,"DO_WITH_HAIR_\touch_up\""""",browser_firefox,"NATURAL_HAIR_COLOR_\blonde\""""","NATURAL_HAIR_COLOR_\black\""""",pages_search,longitude,FREQUENCY_8,pages_membership,order_type_subscription,"GRAY_LEVEL_\all\""""",customer_type_colorbar,FREQUENCY_6,"COLOR_WHERE_\at_salon\""""","COLOR_WHERE_\at_home\""""",state,medium_email,"GRAY_LEVEL_\less_than_50\""""",pages_account,"GRAY_LEVEL_\more_than_50\""""",medium_none,utm_direct,device_mobile,"COMFORT_LEVEL_\somewhat_comfortable\""""",pages_notloggedin,"DO_WITH_HAIR_\color_and_highlights\""""","DO_WITH_HAIR_\change\""""",FREQUENCY_4,total_customer_type,total_order_type,pages_colorbar,revenue,order_type_renewal,"COMFORT_LEVEL_\comfortable\""""",purchases,"COMFORT_LEVEL_\not_comfortable\""""",device_tablet,pages_product,device_desktop,country,pages_faqs,FREQUENCY_2,FREQUENCY_5,utm_iterable,utm_facebook,order_type_one-time,"COLOR_WHERE_\salon_and_home\""""",visit_count,FREQUENCY_7,"COMFORT_LEVEL_\very_comfortable\""""",pages_welcome,"GRAY_LEVEL_\not_sure\""""","HAIR_COLOR_\blonde\""""",customer_type_color,predicted_future_ltr_10yr,utm_google,"HAIR_COLOR_\black\""""",browser_safari,browser_ie,latitude,pages_compare-shades,"GRAY_LEVEL_\no_gray\""""","HAIR_COLOR_\red\""""",browser_other,pages_signIn,visitor_age,"DO_WITH_HAIR_\not_sure\""""","DO_WITH_HAIR_\highlight_only\""""",FREQUENCY_12,"NATURAL_HAIR_COLOR_\brown\""""",pages_hair-dye-ingredients,pages_color-translator,customer_type_rootreboot,medium_fbigan,FREQUENCY_other,pages_shopping,medium_organic,pages_how-to-color-your-hair,pages_cart,pages_hair-colorist,pages_about,pages_share,pages_landing
P 62,pages_landing,pages_search,customer_type_gloss,total_pages,pages_hair-dye-ingredients,medium_organic,pages_how-to-color-your-hair,pages_shop,pages_compare-shades,FREQUENCY_3,pages_email-unsubscribe,city,browser_other,"COMFORT_LEVEL_\not_comfortable\""""",pages_support,pages_membership,"GRAY_LEVEL_\more_than_50\""""",country,FREQUENCY_2,state,pages_other,pages_about,order_type_subscription,pages_notloggedin,"COMFORT_LEVEL_\somewhat_comfortable\""""",pages_account,avg_session_length,device_mobile,pages_color-advisor,customer_type_other,utm_bronto,pages_refer,utm_google,"GRAY_LEVEL_\less_than_50\""""",longitude,"COLOR_WHERE_\at_home\""""",medium_email,browser_ie,"HAIR_COLOR_\brown\""""","DO_WITH_HAIR_\touch_up\""""",utm_iterable,"NATURAL_HAIR_COLOR_\blonde\""""","NATURAL_HAIR_COLOR_\red\""""",pages_cart,order_type_renewal,"HAIR_COLOR_\blonde\""""","DO_WITH_HAIR_\change\""""",FREQUENCY_5,"GRAY_LEVEL_\all\""""",medium_other,utm_facebook,total_customer_type,total_order_type,pages_checkout,visit_count,utm_direct,medium_none,purchases,"NATURAL_HAIR_COLOR_\black\""""",browser_safari,FREQUENCY_8,"COLOR_WHERE_\salon_and_home\""""",device_tablet,FREQUENCY_6,pages_signIn,pages_confirmation,revenue,FREQUENCY_7,browser_firefox,browser_facebook,pages_hair-colorist,browser_chrome,"COLOR_WHERE_\at_salon\""""",pages_welcome,device_desktop,customer_type_colorbar,"DO_WITH_HAIR_\color_and_highlights\""""",order_type_one-time,"COMFORT_LEVEL_\comfortable\""""",predicted_future_ltr_10yr,FREQUENCY_4,"NATURAL_HAIR_COLOR_\brown\""""","HAIR_COLOR_\red\""""","HAIR_COLOR_\black\""""",medium_fbigan,pages_color-translator,latitude,pages_colorbar,pages_share,"DO_WITH_HAIR_\highlight_only\""""","DO_WITH_HAIR_\not_sure\""""","COMFORT_LEVEL_\very_comfortable\""""",customer_type_color,utm_other,pages_learn-more,pages_hair-color-chart,pages_product,"GRAY_LEVEL_\not_sure\""""","GRAY_LEVEL_\no_gray\""""",pages_hair-color,pages_faqs,FREQUENCY_12,medium_cpc,customer_type_rootreboot,FREQUENCY_other,visitor_age,pages_shopping,pages_blog
P 63,pages_email-unsubscribe,pages_shopping,pages_blog,pages_membership,"DO_WITH_HAIR_\color_and_highlights\""""",pages_share,pages_product,avg_session_length,pages_confirmation,FREQUENCY_3,pages_landing,pages_hair-colorist,total_pages,customer_type_color,FREQUENCY_2,pages_notloggedin,"COMFORT_LEVEL_\not_comfortable\""""","NATURAL_HAIR_COLOR_\red\""""",browser_ie,pages_checkout,utm_direct,medium_none,"NATURAL_HAIR_COLOR_\blonde\""""","GRAY_LEVEL_\less_than_50\""""","HAIR_COLOR_\brown\""""",pages_about,utm_google,device_mobile,pages_colorbar,city,browser_other,pages_color-translator,browser_facebook,"GRAY_LEVEL_\more_than_50\""""",pages_support,order_type_one-time,utm_facebook,customer_type_other,order_type_subscription,pages_account,medium_cpc,FREQUENCY_5,"COLOR_WHERE_\at_home\""""",customer_type_colorbar,total_order_type,total_customer_type,longitude,country,"GRAY_LEVEL_\not_sure\""""","COMFORT_LEVEL_\somewhat_comfortable\""""",FREQUENCY_7,medium_fbigan,state,"HAIR_COLOR_\blonde\""""",medium_organic,FREQUENCY_6,device_desktop,"DO_WITH_HAIR_\touch_up\""""",revenue,pages_cart,"NATURAL_HAIR_COLOR_\black\""""","COMFORT_LEVEL_\comfortable\""""",browser_chrome,"HAIR_COLOR_\red\""""",predicted_future_ltr_10yr,"COMFORT_LEVEL_\very_comfortable\""""",purchases,"COLOR_WHERE_\at_salon\""""",latitude,pages_how-to-color-your-hair,"DO_WITH_HAIR_\highlight_only\""""",pages_hair-dye-ingredients,medium_other,FREQUENCY_8,"DO_WITH_HAIR_\change\""""","COLOR_WHERE_\salon_and_home\""""",pages_other,customer_type_rootreboot,pages_hair-color,utm_iterable,pages_welcome,FREQUENCY_4,"DO_WITH_HAIR_\not_sure\""""",pages_shop,browser_firefox,browser_safari,visit_count,order_type_renewal,device_tablet,"GRAY_LEVEL_\no_gray\""""","NATURAL_HAIR_COLOR_\brown\""""",pages_refer,medium_email,"HAIR_COLOR_\black\""""",pages_color-advisor,utm_bronto,utm_other,visitor_age,"GRAY_LEVEL_\all\""""",pages_faqs,customer_type_gloss,pages_learn-more,FREQUENCY_12,FREQUENCY_other,pages_search,pages_hair-color-chart,pages_compare-shades,pages_signIn
P 64,pages_how-to-color-your-hair,pages_hair-color-chart,pages_faqs,pages_shopping,customer_type_other,pages_hair-colorist,"COMFORT_LEVEL_\not_comfortable\""""",pages_learn-more,"COMFORT_LEVEL_\somewhat_comfortable\""""",total_pages,pages_hair-color,customer_type_gloss,FREQUENCY_other,utm_iterable,avg_session_length,pages_notloggedin,"COLOR_WHERE_\at_home\""""","DO_WITH_HAIR_\touch_up\""""",pages_account,pages_search,state,pages_signIn,country,pages_color-advisor,pages_shop,FREQUENCY_12,pages_refer,pages_share,"GRAY_LEVEL_\more_than_50\""""",medium_cpc,customer_type_color,browser_other,browser_facebook,pages_email-unsubscribe,order_type_renewal,"HAIR_COLOR_\brown\""""",medium_other,FREQUENCY_5,device_mobile,utm_facebook,browser_ie,pages_membership,"NATURAL_HAIR_COLOR_\black\""""",purchases,medium_email,revenue,"COLOR_WHERE_\salon_and_home\""""",utm_direct,medium_none,FREQUENCY_4,device_tablet,browser_chrome,city,"NATURAL_HAIR_COLOR_\red\""""","DO_WITH_HAIR_\color_and_highlights\""""",FREQUENCY_7,FREQUENCY_6,"HAIR_COLOR_\blonde\""""",FREQUENCY_2,pages_checkout,pages_welcome,utm_google,"GRAY_LEVEL_\all\""""","DO_WITH_HAIR_\change\""""",order_type_one-time,total_customer_type,total_order_type,"GRAY_LEVEL_\not_sure\""""",FREQUENCY_8,pages_confirmation,"NATURAL_HAIR_COLOR_\blonde\""""",predicted_future_ltr_10yr,longitude,order_type_subscription,"NATURAL_HAIR_COLOR_\brown\""""",FREQUENCY_3,pages_colorbar,"GRAY_LEVEL_\less_than_50\""""",device_desktop,"GRAY_LEVEL_\no_gray\""""",browser_safari,visit_count,"HAIR_COLOR_\black\""""",latitude,"COMFORT_LEVEL_\comfortable\""""","HAIR_COLOR_\red\""""",medium_fbigan,browser_firefox,pages_landing,pages_about,customer_type_colorbar,pages_blog,pages_cart,medium_organic,"DO_WITH_HAIR_\not_sure\""""",utm_other,"COLOR_WHERE_\at_salon\""""",pages_product,visitor_age,utm_bronto,pages_color-translator,"DO_WITH_HAIR_\highlight_only\""""","COMFORT_LEVEL_\very_comfortable\""""",pages_compare-shades,pages_hair-dye-ingredients,customer_type_rootreboot,pages_support,pages_other
P 65,total_pages,pages_blog,pages_signIn,customer_type_rootreboot,medium_cpc,pages_cart,"DO_WITH_HAIR_\highlight_only\""""",pages_hair-colorist,pages_how-to-color-your-hair,pages_product,pages_color-translator,device_tablet,pages_account,utm_other,"GRAY_LEVEL_\not_sure\""""",browser_ie,"COMFORT_LEVEL_\very_comfortable\""""",city,pages_learn-more,pages_hair-dye-ingredients,FREQUENCY_2,pages_email-unsubscribe,"DO_WITH_HAIR_\change\""""",order_type_subscription,"GRAY_LEVEL_\less_than_50\""""",pages_notloggedin,"DO_WITH_HAIR_\not_sure\""""",pages_membership,FREQUENCY_3,"HAIR_COLOR_\red\""""",browser_facebook,browser_firefox,pages_about,pages_welcome,"HAIR_COLOR_\blonde\""""","GRAY_LEVEL_\more_than_50\""""",medium_fbigan,"COLOR_WHERE_\at_salon\""""",utm_google,"NATURAL_HAIR_COLOR_\blonde\""""",pages_faqs,longitude,utm_iterable,customer_type_colorbar,"GRAY_LEVEL_\all\""""","COMFORT_LEVEL_\comfortable\""""",FREQUENCY_other,pages_compare-shades,pages_refer,FREQUENCY_8,"COLOR_WHERE_\salon_and_home\""""","NATURAL_HAIR_COLOR_\brown\""""",FREQUENCY_4,medium_other,browser_chrome,"DO_WITH_HAIR_\color_and_highlights\""""","NATURAL_HAIR_COLOR_\red\""""",FREQUENCY_6,utm_facebook,order_type_renewal,total_customer_type,total_order_type,browser_safari,latitude,state,purchases,country,"HAIR_COLOR_\black\""""",device_mobile,"NATURAL_HAIR_COLOR_\black\""""",revenue,avg_session_length,medium_email,order_type_one-time,predicted_future_ltr_10yr,"HAIR_COLOR_\brown\""""",pages_colorbar,medium_none,utm_direct,FREQUENCY_7,device_desktop,FREQUENCY_5,pages_hair-color,pages_share,pages_hair-color-chart,customer_type_color,pages_landing,"COLOR_WHERE_\at_home\""""",utm_bronto,customer_type_other,"COMFORT_LEVEL_\somewhat_comfortable\""""",FREQUENCY_12,visit_count,pages_color-advisor,"GRAY_LEVEL_\no_gray\""""",browser_other,medium_organic,"DO_WITH_HAIR_\touch_up\""""",pages_shop,pages_other,"COMFORT_LEVEL_\not_comfortable\""""",customer_type_gloss,pages_checkout,pages_search,pages_support,pages_confirmation,pages_shopping,visitor_age
P 66,pages_other,pages_faqs,pages_hair-colorist,pages_shopping,pages_email-unsubscribe,pages_shop,pages_signIn,pages_membership,pages_landing,"COMFORT_LEVEL_\not_comfortable\""""",customer_type_gloss,pages_search,customer_type_colorbar,pages_learn-more,FREQUENCY_2,utm_google,pages_compare-shades,total_pages,pages_cart,browser_ie,FREQUENCY_8,medium_cpc,"GRAY_LEVEL_\more_than_50\""""",browser_other,browser_firefox,pages_refer,pages_share,avg_session_length,customer_type_color,latitude,"NATURAL_HAIR_COLOR_\blonde\""""",FREQUENCY_3,browser_facebook,utm_facebook,medium_other,utm_direct,medium_none,"GRAY_LEVEL_\less_than_50\""""","GRAY_LEVEL_\all\""""",order_type_subscription,"COLOR_WHERE_\at_salon\""""","HAIR_COLOR_\brown\""""","HAIR_COLOR_\red\""""",medium_organic,pages_colorbar,device_tablet,device_mobile,total_order_type,total_customer_type,order_type_renewal,revenue,"COLOR_WHERE_\at_home\""""",purchases,FREQUENCY_7,country,"DO_WITH_HAIR_\change\""""","DO_WITH_HAIR_\highlight_only\""""",device_desktop,"DO_WITH_HAIR_\touch_up\""""","HAIR_COLOR_\blonde\""""","COMFORT_LEVEL_\somewhat_comfortable\""""",utm_iterable,order_type_one-time,"NATURAL_HAIR_COLOR_\red\""""",FREQUENCY_5,pages_welcome,FREQUENCY_6,FREQUENCY_4,state,"NATURAL_HAIR_COLOR_\black\""""",utm_bronto,pages_color-translator,"NATURAL_HAIR_COLOR_\brown\""""",predicted_future_ltr_10yr,"COMFORT_LEVEL_\comfortable\""""",browser_chrome,"COLOR_WHERE_\salon_and_home\""""","HAIR_COLOR_\black\""""",pages_account,longitude,visit_count,"COMFORT_LEVEL_\very_comfortable\""""",medium_email,browser_safari,city,medium_fbigan,"DO_WITH_HAIR_\color_and_highlights\""""",customer_type_other,pages_notloggedin,"DO_WITH_HAIR_\not_sure\""""",pages_checkout,pages_confirmation,"GRAY_LEVEL_\not_sure\""""",pages_product,visitor_age,FREQUENCY_12,"GRAY_LEVEL_\no_gray\""""",FREQUENCY_other,pages_color-advisor,pages_blog,pages_hair-color-chart,utm_other,pages_hair-color,customer_type_rootreboot,pages_hair-dye-ingredients,pages_about,pages_support,pages_how-to-color-your-hair
